Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
0.42857,1,0,0.4,0.97143,0.4,0,0,0.88571,0,0.11429
0.4,1,0,1,0,0.085714,1,0,0,0,0
1,1,0.028571,0.94286,0.057143,0.028571,1,0,0.54286,0,0
0.17143,1,0.6,0.88571,0.28571,0.5,1,0,0.31429,0,0
0.31429,0.55556,0.65714,0,0.25714,0.22222,0,0,0.83333,1,0
0.72222,0.77778,1,0,0.88889,0.27778,0.66667,0,1,0.27778,0.30556
0,0,1,0,0.88889,0.66667,0.055556,0,0,0,0.44444
0,0,0.66667,0.27778,0.33333,1,0.66667,0.72222,0.19444,0,0.27778
0.11111,0,0.61111,0,1,1,0,0.44444,0.88889,0,0.27778
1,0,0.5,0.44444,1,0.16667,0.19444,0.44444,0.11111,0.61111,0.16667
0.77778,0.66667,0.22222,0.33333,0.33333,1,1,1,0.5,1,0.10811
0.22222,0.10811,0.22222,0.36111,0.5,0.97297,1,1,0.89189,1,0.45946
0,0.16216,0.72973,0.2973,0,0.7027,1,1,1,0.21622,1
0,0.78378,0.13514,0,0.43243,1,1,0.27027,1,0,0.24324
0,1,0,0,0.35135,1,0.40541,0.027027,1,0,0.32432
0.21622,0.40541,0.56757,0,1,1,0.27027,0,0.10811,0,0.24324
0.10811,0,0.89189,0.81081,1,1,0.027027,1,1,0.16216,0.21622
0,0,0.16216,0,0.62162,0.21053,0,0,0.56757,0.42105,0.28947
0.32432,0,0,0,0.13514,0,0,0,1,0,0.31579
1,0,0,0,0.52632,0,0,1,0.76316,0,0.81579
1,0.57895,0,0,0.15789,0,0.052632,1,0.55263,0.36842,0.10526
0.73684,0,0,0,0,0,1,1,0,0,0
0,0.21053,0,0,0,0.026316,0,1,0.23684,0.15789,0.26316
0.52632,0,0,0.31579,0,0.10526,0,0.13158,0,1,0.26316
0,0,0,0.52632,0,0,0,0,1,1,0
1,0,0,1,0.26316,0.35897,0.35897,0,1,0.89744,0
1,0,0,1,0,0,0,0,1,1,0
0,0,0,0,0.66667,0.051282,0,0,0,0.10256,0
0,0,0,0,0.4359,0,0,0.10256,0,0,0
0,0.33333,0,0,0,0,0.20513,0.076923,0,0.46154,0
0,0,0,0,0.41026,0,1,0.58974,0.15385,0.61538,0
